Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.254,0.442216009225132,0.0199373734974326,0,0,0,45.8674211610964,4.71504582583239,-7.73092194649668E-17,-1.15927084096081E-16,1.08472485190803,-0.316618072863205,5.55558636298786,0,0,0,0,0,0,package://car_and_trailer/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_and_trailer/meshes/base_link.STL,,Chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Steer_Left,-0.488789550969635,1.0033,0.0730308461748111,0,0,0,0.205068851277686,0.000542814148788568,8.49018783728658E-19,-7.80565059903451E-05,0.000546349438812291,1.09592188639126E-18,9.40760107910819E-05,0,0,0,0,0,0,package://car_and_trailer/meshes/Steer_Left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_and_trailer/meshes/Steer_Left.STL,,Wheel Steer Right-2,Origin_Left_Steer3,Axis_Left_Steer,Left_Steer,fixed,0.508,2.0066,0,3.14159265358979,0,0,base_link,0,0,0,,,,,,,,,,,,
Left_Front_Wheel,-2.22044604925031E-16,0,-0.0254,0,0,0,1.62962959682595,0.00460132751039961,-7.56314231045415E-39,-9.18354961579912E-39,0.00460132751039961,-8.3042856448893E-36,0.00850174046700706,0,0,0,0,0,0,package://car_and_trailer/meshes/Left_Front_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_and_trailer/meshes/Left_Front_Wheel.STL,,Wheel-2,Origin_Left_Front_Wheel3,Axis_Left_Front_Wheel3,Left_Front_Wheel,continuous,-0.4826,1.0033,0.1651,-1.5707963267949,0,-1.5707963267949,Steer_Left,0,0,1,,,,,,,,,,,,
Steer_Right,-0.488789550969635,1.0033,0.073030846174811,0,0,0,0.205068851277686,0.000542814148788574,3.00990364412103E-20,-7.80565059903447E-05,0.00054634943881229,3.72059530276015E-20,9.4076010791088E-05,0,0,0,0,0,0,package://car_and_trailer/meshes/Steer_Right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_and_trailer/meshes/Steer_Right.STL,,Wheel Steer Right-1,Origin_Rigth_Steer3,Axis_Rigth_Steer,Rigth_Steer,fixed,0,0,0,3.14159265358979,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
Rigth_Front_Wheel,0,0,0.0254,0,0,0,1.62962959682594,0.0046013275103996,-7.56314231045415E-39,-4.17161150360145E-36,0.0046013275103996,-8.30428564488929E-36,0.00850174046700706,0,0,0,0,0,0,package://car_and_trailer/meshes/Rigth_Front_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_and_trailer/meshes/Rigth_Front_Wheel.STL,,Wheel-1,Origin_Rigth_Front_Wheel3,Axis_Rigth_Front_Wheel2,Rigth_Front_Wheel,continuous,-0.4826,1.0033,0.1651,3.14159265358979,-1.5707963267949,0,Steer_Right,0,0,1,,,,,,,,,,,,
Right_Back_Wheel,-6.93889390390723E-18,1.38777878078145E-16,0.0254,0,0,0,1.62962959682594,0.0046013275103996,-7.56314231045415E-39,-4.17161150360144E-36,0.0046013275103996,-8.30428564488929E-36,0.00850174046700706,0,0,0,0,0,0,package://car_and_trailer/meshes/Right_Back_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_and_trailer/meshes/Right_Back_Wheel.STL,,Wheel-4,Origin_Right_Back_Wheel3,Axis_Right_Back_Wheel3,Right_Back_Wheel,continuous,0.4826,0.0381000000000003,-0.1651,1.5707963267949,0,1.5707963267949,base_link,0,0,1,,,,,,,,,,,,
Left_Back_Wheel,0,1.38777878078145E-16,-6.93889390390723E-18,0,0,0,1.62962959682595,0.00460132751039961,-7.56314231045466E-39,2.38823524459631E-19,0.00460132751039961,-8.3042856448893E-36,0.00850174046700706,0,0,0,0,0,0,package://car_and_trailer/meshes/Left_Back_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_and_trailer/meshes/Left_Back_Wheel.STL,,Wheel-3,Origin_Left_Back_Wheel3,Axis_Left_Back_Wheel3,Left_Back_Wheel,continuous,0,0.0381000000000003,-0.1651,1.5707963267949,0,1.5707963267949,base_link,0,0,1,,,,,,,,,,,,
Lidar,0,0,0.0508,0,0,0,0.0514814798763057,4.63609173816422E-05,1.91171029335894E-54,-4.83762878413658E-38,4.63609173816422E-05,-6.41845928115206E-38,4.15172394462466E-06,0,0,0,0,0,0,package://car_and_trailer/meshes/Lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_and_trailer/meshes/Lidar.STL,,LIDAR-1,Origin_Lidar3,Axis_Lidar2,Lidar,continuous,0.254,0.508,0.1016,0,0,0,base_link,0,0,1,,,,,,,,,,,,
Trailer,1.66533453693773E-16,-0.804111102029834,0.0275105834465963,0,0,0,27.2755326758408,4.31133111414126,6.65415782568477E-16,-2.22750825253046E-16,0.66836978637258,-0.100077621756449,4.58294264392293,0,0,0,0,0,0,package://car_and_trailer/meshes/Trailer.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_and_trailer/meshes/Trailer.STL,,Trailer-1,Origin_Trailer3,Axis_Trailer2,Trailer,continuous,0.254,0.0254,0,0,0,0,base_link,0,0,1,,,,,,,,,,,,
Trailer_Left_Wheel,0,8.32667268468867E-17,-0.0254,0,0,0,1.62962959682595,0.00460132751039961,-2.71050543121376E-20,4.27969795118175E-19,0.00460132751039961,1.30847375225861E-20,0.00850174046700706,0,0,0,0,0,0,package://car_and_trailer/meshes/Trailer_Left_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_and_trailer/meshes/Trailer_Left_Wheel.STL,,Wheel-6,Origin_Trailer_Left_Wheel3,Axis_Trailer_Left_Wheel3,Trailer_Left_Wheel,continuous,-0.2286,-1.24477638939552,-0.1651,1.5707963267949,0.0427063277818672,1.5707963267949,Trailer,0,0,1,,,,,,,,,,,,
